2020-05-21 23:04:47.6261||DEBUG|uccApiCore2.Program|init main |url: |action: 
2020-05-21 23:06:00.7414|22|WARN|Microsoft.AspNetCore.Server.Kestrel|Heartbeat took longer than "00:00:01" at "05/21/2020 17:35:59 +00:00". |url: |action: 
2020-05-21 23:06:27.2377||ERROR|uccApiCore2.Controllers.CategoryController|Something went wrong inside CafeController GetCafeSettingById action: Could not find stored procedure 'p_category_sel'. |url: http://localhost/api/Category/GetCategory|action: GetCategory
2020-05-21 23:07:57.4313||ERROR|uccApiCore2.Controllers.CategoryController|Something went wrong inside CafeController GetCafeSettingById action: Could not find stored procedure 'p_category_sel'. |url: http://localhost/api/Category/GetCategory|action: GetCategory
2020-05-21 23:08:55.5920||ERROR|uccApiCore2.Controllers.CategoryController|Something went wrong inside CafeController GetCafeSettingById action: Could not find stored procedure 'p_category_sel'. |url: http://localhost/api/Category/GetCategory|action: GetCategory
2020-05-21 23:10:48.6417||DEBUG|uccApiCore2.Program|init main |url: |action: 
2020-05-21 23:14:09.6256||DEBUG|uccApiCore2.Program|init main |url: |action: 
2020-05-21 23:22:41.7042||DEBUG|uccApiCore2.Program|init main |url: |action: 
2020-05-21 23:25:23.4562||DEBUG|uccApiCore2.Program|init main |url: |action: 
2020-05-21 23:50:16.0512||DEBUG|uccApiCore2.Program|init main |url: |action: 
