2020-05-24 16:53:23.5668||DEBUG|uccApiCore2.Program|init main |url: |action: 
2020-05-24 17:45:40.7346||DEBUG|uccApiCore2.Program|init main |url: |action: 
2020-05-24 17:50:10.2895||DEBUG|uccApiCore2.Program|init main |url: |action: 
2020-05-24 17:50:38.3747||DEBUG|uccApiCore2.Program|init main |url: |action: 
2020-05-24 18:52:40.6894||DEBUG|uccApiCore2.Program|init main |url: |action: 
2020-05-24 18:54:45.5950||DEBUG|uccApiCore2.Program|init main |url: |action: 
2020-05-24 18:57:12.7002||DEBUG|uccApiCore2.Program|init main |url: |action: 
2020-05-24 22:38:42.1590||DEBUG|uccApiCore2.Program|init main |url: |action: 
2020-05-24 23:27:19.1369|22|WARN|Microsoft.AspNetCore.Server.Kestrel|Heartbeat took longer than "00:00:01" at "05/24/2020 17:56:23 +00:00". |url: |action: 
